_id,pin,address,block_lot,sale_price,act77_gent_date,last_payment_date,treasury_sale_date,partition_latest_sale_date,latitude,longitude,neighborhood_name,council_district,ward,fire_zone,police_zone,dpw_streets,dpw_enviro,dpw_parks
281345,0045M00227000000,"2407 STRAUSS ST, PITTSBURGH, PA 15214",0045M00227,786,1981-04-30,1981-04-30,2006-06-23,2006-06-23,40.46542958261052,-80.01948491126915,Perry South,6,26,1-12,1,1,Northern,Riverview
281346,0045M00227000A00,"STRAUSS ST, PITTSBURGH, PA 15214",0045M00227A,733,1978-03-20,1978-03-20,2006-09-22,2006-09-22,40.46545256023568,-80.01963447176065,Perry South,6,26,1-12,1,1,Northern,Riverview
281347,0045M00216000000,"STRAUSS ST, PITTSBURGH, PA 15214",0045M00216,850,1981-12-28,1981-12-28,2006-06-23,2006-06-23,40.465925073270455,-80.0191012315784,Perry South,6,26,1-12,1,1,Northern,Riverview
281348,0045M00244000000,"22 HARLAN AVE, PITTSBURGH, PA 15214",0045M00244,573,1992-08-17,1992-08-17,2006-06-23,2006-06-23,40.465330347869646,-80.01915483589265,Perry South,6,26,1-12,1,1,Northern,Riverview
281349,0045M00242000000,"20 HARLAN AVE, PITTSBURGH, PA 15214",0045M00242,840,1989-01-23,1989-01-23,2006-06-23,2006-06-23,40.46524049494724,-80.01921102473666,Perry South,6,26,1-12,1,1,Northern,Riverview
281350,0045M00213000000,"STRAUSS ST, PITTSBURGH, PA 15214",0045M00213,767,,,2006-06-23,2006-06-23,40.466050201259456,-80.01892149311834,Perry South,6,26,1-12,1,1,Northern,Riverview
281351,0076F00124000000,"1024 HALL ST, PITTSBURGH, PA 15212",0076F00124,5921,2001-03-15,2001-03-15,2006-09-22,2006-09-22,40.47772381539869,-80.0274275344829,Marshall-Shadeland,1,27,1-14,1,1,Northern,Riverview
281352,0045A00182000A00,"2803 FREDERICK ST, PITTSBURGH, PA 15212",0045A00182A,1899,2001-04-09,2006-01-18,2006-12-04,2006-12-04,40.47012150638209,-80.02992562617415,Marshall-Shadeland,1,27,1-14,1,1,Northern,Riverview
281353,0076N00014000000,"1357 GEYER AVE, PITTSBURGH, PA 15212",0076N00014,5289,2000-07-19,2000-07-19,2006-12-04,2006-12-04,40.47385566754115,-80.03259822277269,Marshall-Shadeland,1,27,1-14,1,1,Northern,Riverview
281354,0047E00346000000,"2133 LAPPE LN, PITTSBURGH, PA 15212",0047E00346,1684,2000-02-10,2004-02-20,2006-09-22,2006-09-22,40.467932920670194,-79.99635918380564,Spring Hill-City View,1,26,1-11,1,1,Northern,Riverview
281355,0124N00045000000,"118 MAYFLOWER ST, PITTSBURGH, PA 15206",0124N00045,8438,1991-07-23,1991-07-23,2006-09-22,2006-09-22,40.46378742263494,-79.91577310208838,Larimer,9,12,3-10,5,2,Eastern,Highland
281356,0124N00106000000,"119 MAYFLOWER ST, PITTSBURGH, PA 15206",0124N00106,2024,1993-05-21,1993-05-21,2006-12-04,2006-12-04,40.46410798355244,-79.9153236837979,Larimer,9,12,3-10,5,2,Eastern,Highland
281357,0124J00075000000,"503 LENORA ST, PITTSBURGH, PA 15206",0124J00075,858,1992-02-11,1992-02-11,2006-12-04,2006-12-04,40.46638199241633,-79.91538464211862,Larimer,9,12,3-12,5,2,Eastern,Highland
281358,0124N00032000000,"125 AUBURN ST, PITTSBURGH, PA 15206",0124N00032,1525,2002-09-18,2003-07-15,2006-09-22,2006-09-22,40.463387265809175,-79.91588580022302,Larimer,9,12,3-10,5,2,Eastern,Highland
281359,0124N00141000000,"114 CARVER ST, PITTSBURGH, PA 15206",0124N00141,2521,1997-01-31,1997-01-31,2006-12-04,2006-12-04,40.464223747904654,-79.91489019687846,Larimer,9,12,3-10,5,2,Eastern,Highland
281360,0124N00043000000,"114 MAYFLOWER ST, PITTSBURGH, PA 15206",0124N00043,5530,1995-01-06,1995-01-06,2006-09-22,2006-09-22,40.46385337625812,-79.91588098755328,Larimer,9,12,3-10,5,2,Eastern,Highland
281361,0124N00142000000,"116 CARVER ST, PITTSBURGH, PA 15206",0124N00142,613,1991-03-20,1991-03-20,2006-12-04,2006-12-04,40.46417488975448,-79.91483703214665,Larimer,9,12,3-10,5,2,Eastern,Highland
281362,0174S00016000000,"7824 KELLY ST, PITTSBURGH, PA 15208",0174S00016,14937,2000-08-04,2006-03-06,2006-06-23,2006-06-23,40.452809660239474,-79.88630023125022,Homewood South,9,13,3-17,5,2,Eastern,Frick
281363,0134E00350000000,"SLATE ST, PITTSBURGH, PA 15207",0134E00350,2036,1993-01-29,1993-01-29,2006-09-22,2006-09-22,40.38209362449504,-79.92980490273807,Hays,5,31,4-20,4,3,Eastern,Frick
281364,0056N00005000000,"301 W ELIZABETH ST, PITTSBURGH, PA 15207",0056N00005,14958,2002-06-12,2002-06-12,2006-09-22,2006-09-22,40.40653952908295,-79.94544650345513,Hazelwood,5,15,2-13,4,3,Eastern,Frick
281365,0057C00218000000,"64 ALMEDA ST, PITTSBURGH, PA 15207",0057C00218,5877,2000-06-27,2003-07-09,2006-12-04,2006-12-04,40.403294125218586,-79.93913806779028,Hazelwood,5,15,2-13,4,3,Eastern,Frick
281366,0056M00017000000,"131 ASHTON AVE, PITTSBURGH, PA 15207",0056M00017,2288,2002-02-22,2005-08-29,2006-12-04,2006-12-04,40.40661457158188,-79.93690570422834,Hazelwood,5,15,2-13,4,3,Eastern,Frick
281367,0087K00302000000,"3635 BEECHWOOD BLVD, PITTSBURGH, PA 15217",0087K00302,4195,1991-02-20,1991-02-20,2006-09-22,2006-09-22,40.42640225825996,-79.92704029399118,Greenfield,5,15,2-15,4,3,Eastern,Frick
281368,0034G00077000000,"400 TIMBERLAND AVE, PITTSBURGH, PA 15226",0034G00077,2873,1998-01-27,1998-01-27,2006-09-22,2006-09-22,40.41009007159992,-80.0068133311115,Bon Air,4,18,4-18,3,4,Southern,Emerald
281369,0060M00089000000,"1810 LEOLYN ST, PITTSBURGH, PA 15210",0060M00089,5366,2001-04-11,2003-05-30,2006-09-22,2006-09-22,40.397146030558645,-79.98558338440473,Carrick,4,29,4-12,3,4,Southern,Schenley
281370,0014K00269000000,"315 CHARLES ST, PITTSBURGH, PA 15210",0014K00269,5554,2001-03-29,2001-03-29,2006-09-22,2006-09-22,40.41670439414274,-79.99382270042409,Knoxville,3,30,4-21,3,4,Southern,Emerald
281371,0033A00283000000,"446 ARABELLA ST, PITTSBURGH, PA 15210",0033A00283,1888,2002-06-10,2006-05-19,2006-09-22,2006-09-22,40.411716435262456,-79.99653426993241,Knoxville,3,30,4-7,3,4,Southern,Emerald
281372,0095N00022000000,"41 SELDON ST, PITTSBURGH, PA 15234",0095N00022,2301,2002-07-22,2004-03-18,2006-06-23,2006-06-23,40.385240540273685,-79.99895750656323,Overbrook,4,32,4-25,3,4,Southern,Schenley
281373,0139D00035000000,"GEORGETTE ST, PITTSBURGH, PA 15234",0139D00035,961,,,2006-06-23,2006-06-23,40.38354379254335,-80.00330419944558,Overbrook,4,32,4-25,3,4,Southern,Schenley
281374,0014E00012000000,"17 CURTIN AVE, PITTSBURGH, PA 15210",0014E00012,342,2002-05-02,2003-03-31,2006-12-04,2006-12-04,40.42036267380893,-79.99915217502242,Beltzhoover,3,18,4-21,3,4,Southern,Emerald
281375,0014J00162000000,"618 BELTZHOOVER AVE, PITTSBURGH, PA 15210",0014J00162,1319,1992-03-30,1992-03-30,2006-12-04,2006-12-04,40.41681386037804,-79.99750161602388,Beltzhoover,3,18,4-21,3,4,Southern,Emerald
281376,0015H00150000000,"346 CLIMAX ST, PITTSBURGH, PA 15210",0015H00150,9164,1996-01-23,1996-01-23,2006-12-04,2006-12-04,40.41971942651002,-80.00064503840505,Beltzhoover,3,18,4-21,3,4,Southern,Emerald
281377,0015K00183000000,"19 LAFFERTY AVE, PITTSBURGH, PA 15210",0015K00183,2702,2002-05-06,2005-08-05,2006-06-23,2006-06-23,40.417348014988505,-80.00939635369083,Beltzhoover,3,18,4-16,3,4,Southern,Emerald
281378,0029P00425000000,"MONOGAHELA RIVER, PITTSBURGH, PA 15207",0029P00425,0,,,,2006-03-09,40.424630766036856,-79.95884515323696,South Side Flats,3,16,4-24,3,4,Southern,Schenley
281379,0007J00024000000,"637 CORFU ST, PITTSBURGH, PA 15220",0007J00024,339000,2002-03-08,2006-01-31,,2006-01-23,40.44560601658776,-80.03201941906688,Elliott,2,20,1-17,6,5,Northern,Emerald
281380,0007J00036000000,"657 CORFU ST, PITTSBURGH, PA 15220",0007J00036,0,2002-03-05,2006-08-22,,2006-06-08,40.4458174418513,-80.03271855471756,Elliott,2,20,1-17,6,5,Northern,Emerald
281381,0007J00022000000,"635 CORFU ST, PITTSBURGH, PA 15220",0007J00022,1000,2002-04-09,2005-02-09,,2006-01-23,40.44552977858935,-80.03194367497322,Elliott,2,20,1-17,6,5,Northern,Emerald
281382,0020P00179000000,"1022 CRUCIBLE ST, PITTSBURGH, PA 15220",0020P00179,1724,2002-12-30,2004-03-30,2006-09-22,2006-09-22,40.44399366548518,-80.04238108233548,Elliott,2,20,1-17,6,5,Northern,Emerald
281383,0020L00192000000,"1044 MARENA ST, PITTSBURGH, PA 15220",0020L00192,5810,1999-01-29,1999-01-29,2006-12-04,2006-12-04,40.44713723789815,-80.03857042545128,Elliott,2,20,1-17,6,5,Northern,Emerald
281384,0007N00238000000,"627 CORFU ST, PITTSBURGH, PA 15220",0007N00238,0,2002-02-22,2006-04-27,,2006-06-08,40.44538333873636,-80.03184763455249,Elliott,2,20,1-17,6,5,Northern,Emerald
281385,0042M00144000000,"3024 GLEN MAWR AVE, PITTSBURGH, PA 15204",0042M00144,2050,2000-07-31,2004-06-28,2006-09-22,2006-09-22,40.45744185914656,-80.05309412519757,Sheraden,2,20,1-16,6,5,Northern,Emerald
281386,0040S00093000000,"1936 NOBLESTOWN RD, PITTSBURGH, PA 15205",0040S00093,1437,2004-01-15,2004-02-03,2006-12-04,2006-12-04,40.43519818430413,-80.05096725505759,Westwood,2,28,1-18,6,5,Northern,Emerald
281387,0006E00097000000,"GREENLEAF ST, PITTSBURGH, PA 15211",0006E00097,3606,1982-11-12,1982-11-12,2006-06-23,2006-06-23,40.43978359689248,-80.03087294027995,Duquesne Heights,2,19,4-1,3,5,Southern,Emerald
281388,0005L00043000000,"HALLOCK ST, PITTSBURGH, PA 15211",0005L00043,3292,1986-04-17,1986-04-17,2006-06-23,2006-06-23,40.42795796044159,-80.02208189917452,Duquesne Heights,2,20,4-1,3,5,Southern,Emerald
281389,0005L00055000000,"HALLOCK ST, PITTSBURGH, PA 15211",0005L00055,3304,1982-01-08,1982-01-08,2006-06-23,2006-06-23,40.428224170903285,-80.02125920803894,Duquesne Heights,2,20,4-1,3,5,Southern,Emerald
281390,0115B00110000000," STOLTZ ST, PITTSBURGH, PA 15214",0115B00110,913,1978-08-18,1978-08-18,1995-09-29,1995-09-29,40.489671855894805,-80.0250499205936,Perry North,1,26,1-15,1,1,Northern,Riverview
281391,0115B00104000000," STOLTZ ST, PITTSBURGH, PA 15214",0115B00104,1115,1978-08-18,1978-08-18,1995-09-29,1995-09-29,40.48946420129624,-80.02555452086163,Perry North,1,26,1-15,1,1,Northern,Riverview
281392,0077K00122000000," MILROY ST, PITTSBURGH, PA 15214",0077K00122,3350,1980-05-19,1980-05-19,1995-09-29,1995-09-29,40.47633641039632,-80.00935332204318,Perry South,1,26,1-23,1,1,Northern,Riverview
281393,0045J00290000000,"2612 BARTOLD ST, PITTSBURGH, PA 15212",0045J00290,5994,1985-01-28,1985-01-28,1995-04-24,1995-04-24,40.467227402356976,-80.03060915946591,Marshall-Shadeland,1,27,1-14,1,1,Northern,Riverview
281394,0045J00289000000,"2614 BARTOLD ST, PITTSBURGH, PA 15212",0045J00289,864,1993-07-19,1993-07-19,1995-04-24,1995-04-24,40.46729875546509,-80.03063077477535,Marshall-Shadeland,1,27,1-14,1,1,Northern,Riverview
281395,0076N00131000000,"3112 SHADELAND AVE, PITTSBURGH, PA 15212",0076N00131,3318,1989-02-03,1989-02-03,1995-04-24,1995-04-24,40.47368455641861,-80.03124744358524,Marshall-Shadeland,1,27,1-14,1,1,Northern,Riverview
281396,0021N00179000000," STAFFORD ST, PITTSBURGH, PA 15204",0021N00179,1741,1983-02-28,1983-02-28,1995-12-14,1995-12-14,40.45446647238303,-80.04867371882135,Sheraden,2,20,1-16,6,5,Northern,Emerald
281397,0021N00262000000," STAFFORD ST, PITTSBURGH, PA 15204",0021N00262,1276,1977-11-02,1977-11-02,,1995-12-14,40.45472335099229,-80.0482930169703,Sheraden,2,20,1-16,6,5,Northern,Emerald
281398,0042L00301000000,"SURBAN AVE, PITTSBURGH, PA 15204",0042L00301,5000,1993-10-01,1993-10-01,,1995-11-09,40.45543061110969,-80.0568145207258,Sheraden,2,20,1-16,6,5,Northern,Emerald
281399,0014L00280000000,"1629 ARLINGTON AVE, PITTSBURGH, PA 15210",0014L00280,1,1993-04-05,1993-04-05,,1995-06-13,40.418232098044,-79.98711061192836,South Side Slopes,3,17,4-6,3,4,Southern,Schenley
281400,0003K00009000000," ARLINGTON AVE, PITTSBURGH, PA 15210",0003K00009,2364,1991-10-30,1991-10-30,1995-09-29,1995-09-29,40.42730537103369,-79.99509752690032,Allentown,3,18,4-5,3,4,Southern,Emerald
281401,0015L00305000000,"401 GEARING AVE, PITTSBURGH, PA 15210",0015L00305,17529,1991-12-03,1991-12-03,1995-12-14,1995-12-14,40.41835023969573,-80.00504037662125,Beltzhoover,3,18,4-16,3,4,Southern,Emerald
281402,0015L00304000000,"403 GEARING AVE, PITTSBURGH, PA 15210",0015L00304,2428,1987-10-28,1987-10-28,1995-04-24,1995-04-24,40.418249366541644,-80.0050035123939,Beltzhoover,3,18,4-16,3,4,Southern,Emerald
281403,0094E00242000000," DIEHL AVE, PITTSBURGH, PA 15210",0094E00242,1041,1992-07-24,1992-07-24,1995-09-29,1995-09-29,40.39061286728997,-79.97992367453345,Carrick,4,29,4-15,3,4,Southern,Schenley
281404,0055S00174000000," INDUS ST, PITTSBURGH, PA 15207",0055S00174,1538,,,1995-09-29,1995-09-29,40.41523455003895,-79.9359399170327,Hazelwood,5,15,2-13,4,3,Eastern,Frick
281405,0055S00164000000," LUDLOW ST, PITTSBURGH, PA 15207",0055S00164,1043,1981-09-29,1981-09-29,1995-09-29,1995-09-29,40.41483881369109,-79.93560571110363,Hazelwood,5,15,2-13,4,3,Eastern,Frick
281406,0057C00124000000,"5503 2ND AVE, PITTSBURGH, PA 15207",0057C00124,2786,1986-10-22,1986-10-22,1995-04-24,1995-04-24,40.401755200535256,-79.94013303174627,Hazelwood,5,15,2-13,4,3,Eastern,Frick
281407,0055S00176000000," INDUS ST, PITTSBURGH, PA 15207",0055S00176,1785,,,1995-09-29,1995-09-29,40.415264572028555,-79.93581959509386,Hazelwood,5,15,2-13,4,3,Eastern,Frick
281408,0055S00170000000," LUDLOW ST, PITTSBURGH, PA 15207",0055S00170,1043,,,1995-09-29,1995-09-29,40.4147685127874,-79.93587307535296,Hazelwood,5,15,2-13,4,3,Eastern,Frick
281409,0055S00169000000," LUDLOW ST, PITTSBURGH, PA 15207",0055S00169,2247,1993-09-27,1993-09-27,1995-09-29,1995-09-29,40.414801483653946,-79.93573601193236,Hazelwood,5,15,2-13,4,3,Eastern,Frick
281410,0010D00097000000,"2915 BEDFORD AVE, PITTSBURGH, PA 15219",0010D00097,6167,1987-08-28,1987-08-28,1995-12-14,1995-12-14,40.45262757287565,-79.9670041745134,Middle Hill,6,5,2-5,2,3,Central,Schenley
281411,0022F00032000000,"1401 NIXON ST, PITTSBURGH, PA 15233",0022F00032,4206,1985-10-09,1985-10-09,1995-12-14,1995-12-14,40.45934858318789,-80.02820037891814,Manchester,6,21,1-8,1,1,Northern,Riverview
281412,0022F00117000000,"1412 WARNER ST, PITTSBURGH, PA 15233",0022F00117,627,1993-04-29,1993-04-29,1995-12-14,1995-12-14,40.45816107709808,-80.02822794732755,Manchester,6,21,1-8,1,1,Northern,Riverview
281413,0022F00029000B00," MANHATTAN ST, PITTSBURGH, PA 15233",0022F00029B,2223,1984-11-30,1984-11-30,1995-12-14,1995-12-14,40.45923259362991,-80.02820423158606,Manchester,6,21,1-8,1,1,Northern,Riverview
281414,0022E00304000000,"1429 NIXON ST, PITTSBURGH, PA 15233",0022E00304,8638,1976-03-31,1976-03-31,1995-12-14,1995-12-14,40.4590855386617,-80.02910188597406,Manchester,6,21,1-8,1,1,Northern,Riverview
281415,0022F00124000000,"1819 MANHATTAN ST, PITTSBURGH, PA 15233",0022F00124,5850,,,1995-12-14,1995-12-14,40.45827345681722,-80.02785867925226,Manchester,6,21,1-8,1,1,Northern,Riverview
281416,0022K00068000000,"1703 FULTON ST, PITTSBURGH, PA 15233",0022K00068,3397,1988-05-13,1988-05-13,1995-12-14,1995-12-14,40.45720757515857,-80.02593019940093,Manchester,6,21,1-8,1,1,Northern,Riverview
281417,0022F00119000000,"1406 WARNER ST, PITTSBURGH, PA 15233",0022F00119,3274,1993-03-04,1993-03-04,1995-12-14,1995-12-14,40.458189463324985,-80.02807425705846,Manchester,6,21,1-8,1,1,Northern,Riverview
281418,0022F00126000000," MANHATTAN ST, PITTSBURGH, PA 15233",0022F00126,1003,1992-02-29,1992-02-29,1995-12-14,1995-12-14,40.45817903805936,-80.02782870500185,Manchester,6,21,1-8,1,1,Northern,Riverview
281419,0022E00343000000,"1414 NIXON ST, PITTSBURGH, PA 15233",0022E00343,2428,1990-08-20,1990-08-20,1995-12-14,1995-12-14,40.459625494474025,-80.0287772661795,Manchester,6,21,1-8,1,1,Northern,Riverview
281420,0022L00098000000,"1212 FRANKLIN ST, PITTSBURGH, PA 15233",0022L00098,2232,1994-02-10,1994-02-10,1995-12-14,1995-12-14,40.45668772137638,-80.02356662013005,Manchester,6,21,1-8,1,1,Northern,Riverview
281421,0022F00125000000,"1817 MANHATTAN ST, PITTSBURGH, PA 15233",0022F00125,5813,,,1995-12-14,1995-12-14,40.45822774275021,-80.02784421576764,Manchester,6,21,1-8,1,1,Northern,Riverview
281422,0046N00232000000,"2134 WILSON AVE, PITTSBURGH, PA 15214",0046N00232,981,1993-04-01,1993-04-01,1995-04-24,1995-04-24,40.4647867138456,-80.0123506661103,Perry South,6,25,1-10,1,1,Northern,Riverview
281423,0046N00214000000,"2012 DRUM ST, PITTSBURGH, PA 15214",0046N00214,8373,1990-01-17,1990-01-17,1995-04-24,1995-04-24,40.464420003881344,-80.01351517265027,Perry South,6,25,1-10,1,1,Northern,Riverview
281424,0046N00231000000,"2136 WILSON AVE, PITTSBURGH, PA 15214",0046N00231,2221,1992-04-30,1992-04-30,1995-04-24,1995-04-24,40.464839620610135,-80.01236802291787,Perry South,6,25,1-12,1,1,Northern,Riverview
281425,0045S00111000000,"616 CHAUTAUQUA ST, PITTSBURGH, PA 15214",0045S00111,1336,1993-01-12,1993-01-12,1995-04-24,1995-04-24,40.46451021530141,-80.01725276621185,Perry South,6,25,1-12,1,1,Northern,Riverview
281426,0046N00230000000,"2200 WILSON AVE, PITTSBURGH, PA 15214",0046N00230,4770,1984-02-09,1984-02-09,1995-04-24,1995-04-24,40.46489691837658,-80.01241254207427,Perry South,6,26,1-12,1,1,Northern,Riverview
281427,0046E00246000000,"124 MAYWOOD ST, PITTSBURGH, PA 15214",0046E00246,3763,1991-10-25,1991-10-25,1995-09-29,1995-09-29,40.46801978906865,-80.01209319704073,Perry South,6,26,1-12,1,1,Northern,Riverview
281428,0046E00198000000," CHESTER AVE, PITTSBURGH, PA 15214",0046E00198,1315,1991-06-28,1991-06-28,1995-09-29,1995-09-29,40.4674791176064,-80.01306558389494,Perry South,6,26,1-12,1,1,Northern,Riverview
281429,0046J00134000000,"411 BURGESS ST, PITTSBURGH, PA 15214",0046J00134,1442,1992-02-10,1992-02-10,1995-04-24,1995-04-24,40.465651320373766,-80.01477623081725,Perry South,6,26,1-12,1,1,Northern,Riverview
281430,0050K00088000000,"4919 BROAD ST, PITTSBURGH, PA 15224",0050K00088,3221,1988-02-26,1988-02-26,1995-12-14,1995-12-14,40.46691554046033,-79.94411418133592,Garfield,9,10,3-4,5,2,Central,Highland
281431,0083J00136000000,"5511 BROAD ST, PITTSBURGH, PA 15206",0083J00136,7435,1987-02-09,1987-02-09,1995-04-24,1995-04-24,40.46515946140238,-79.93120638394697,Garfield,9,11,3-4,5,2,Central,Highland
281432,0124P00267000000,"6503 SHETLAND AVE, PITTSBURGH, PA 15206",0124P00267,7332,1983-07-18,1983-07-18,1995-12-14,1995-12-14,40.46348423148702,-79.90884447309132,Larimer,9,12,3-12,5,2,Eastern,Highland
281433,0124P00268000000,"6505 SHETLAND AVE, PITTSBURGH, PA 15206",0124P00268,6152,1983-03-31,1983-03-31,1995-12-14,1995-12-14,40.46343507151156,-79.90878964997782,Larimer,9,12,3-12,5,2,Eastern,Highland
281434,0125H00065000000,"919 GERRITT ST, PITTSBURGH, PA 15208",0125H00065,1312,1991-10-25,1991-10-25,1995-12-14,1995-12-14,40.45956118798456,-79.90219223694135,Homewood West,9,12,3-17,5,2,Eastern,Highland
281435,0125H00067000000,"919 GERRITT ST, PITTSBURGH, PA 15208",0125H00067,8111,1993-08-26,1993-08-26,1995-12-14,1995-12-14,40.45951237341298,-79.90219984374755,Homewood West,9,12,3-17,5,2,Eastern,Highland
281436,0125H00066000000,"921 GERRITT ST, PITTSBURGH, PA 15208",0125H00066,1773,1991-10-25,1991-10-25,1995-12-14,1995-12-14,40.459608266268006,-79.90217738283606,Homewood West,9,12,3-17,5,2,Eastern,Highland
281437,0124M00003000000,"6625 ROWAN ST, PITTSBURGH, PA 15206",0124M00003,8079,,,1995-12-14,1995-12-14,40.46502541061184,-79.9035059504554,Lincoln-Lemington-Belmar,9,12,3-15,5,2,Eastern,Highland
281438,0231K00200000000,"8404 BRICELYN ST, PITTSBURGH, PA 15221",0231K00200,747,,,1995-09-29,1995-09-29,40.45620183837729,-79.87670668084057,East Hills,9,13,3-17,5,2,Eastern,Frick
281439,0174H00229000000," WHEELER ST, PITTSBURGH, PA 15208",0174H00229,4912,1978-01-25,1978-01-25,1995-09-29,1995-09-29,40.45888959103872,-79.88449704349294,Homewood North,9,13,3-17,5,2,Eastern,Highland
281440,0024E00133000000,"1021 CHESTNUT ST, PITTSBURGH, PA 15212",0024E00133,9132,1995-08-07,1995-08-07,2002-04-05,2002-04-05,40.45762460189962,-79.99561172046816,East Allegheny,1,23,1-5,1,1,Northern,Riverview
281441,0114L00182000000,"3811 CALIFORNIA AVE, PITTSBURGH, PA 15212",0114L00182,3359,1997-08-14,1997-08-14,2002-07-11,2002-07-11,40.484391919603866,-80.04072823985406,Brighton Heights,1,27,1-14,1,1,Northern,Riverview
281442,0075H00035000000,"3441 MC CLURE AVE, PITTSBURGH, PA 15212",0075H00035,3085,1996-07-25,1996-07-25,2002-07-11,2002-07-11,40.4782223766901,-80.03611631615303,Brighton Heights,1,27,1-14,1,1,Northern,Riverview
281443,0114D00265000000,"SAN PEDRO ST, PITTSBURGH, PA 15212",0114D00265,2151,1986-01-30,1986-01-30,2002-07-11,2002-07-11,40.49006871596951,-80.0354840640295,Brighton Heights,1,27,1-14,1,1,Northern,Riverview
